4	13	18
18	12	1
3	12	11
13	2	16
13	20	11
9	12	19
4	19	11
3	16	12
6	8	10
9	9	9
9	18	5
11	16	13
4	10	17
8	17	12
10	14	1
13	12	11
14	18	20
9	7	1
12	10	6
9	18	17
7	12	14
20	9	15
4	4	11
10	18	19
11	3	14
7	18	13
12	13	14
2	18	11
14	6	12
17	1	12
17	2	14
5	4	19
4	15	20
17	3	3
14	10	2
11	12	17
14	12	2
8	4	17
13	13	10
12	13	4
5	5	14
3	8	5
5	4	3
17	20	12
6	19	9
15	19	12
12	16	5
6	13	20
18	11	9
1	6	3
13	3	7
8	19	13
11	16	1
7	3	15
8	20	5
16	3	13
2	1	6
2	8	4
3	12	14
9	7	8
9	16	9
10	1	19
3	15	1
20	1	20
10	20	20
12	5	20
20	17	17
9	16	5
5	3	14
3	5	11
3	11	13
9	20	20
20	16	14
19	9	12
5	12	17
4	8	7
16	15	4
14	2	8
18	9	8
20	8	19
8	12	18
10	17	7
19	13	5
5	3	5
6	5	11
20	3	3
3	19	11
6	17	16
7	12	8
15	15	16
12	10	3
3	4	20
6	13	13
5	18	3
2	1	19
19	19	9
1	4	7
14	16	15
2	5	16
9	11	19
4	2	4
13	12	16
17	10	17
10	20	6
10	17	17
19	1	15
3	12	7
11	11	4
17	12	7
11	14	17
7	1	13
6	9	20
6	6	10
2	12	10
8	7	5
20	16	12
5	6	14
1	20	16
20	5	20
7	2	12
2	15	19
10	20	1
17	18	8
12	11	14
20	16	1
8	6	11
14	18	19
2	15	13
11	9	5
16	10	11
11	4	2
6	2	12
9	4	2
14	4	11
16	13	9
19	7	17
19	3	19
10	10	4
2	18	20
12	14	12
10	3	15
16	9	12
1	18	14
7	5	20
10	10	12
19	6	16
15	5	1
16	4	10
19	6	13
14	17	16
5	2	16
16	13	20
1	9	16
14	7	4
1	18	10
2	1	13
15	18	18
14	2	10
9	6	11
4	4	1
17	15	12
7	20	14
4	8	13
4	15	1
8	13	13
11	14	11
1	15	3
3	18	5
3	15	3
20	20	18
10	1	5
17	4	17
7	11	9
15	13	12
10	11	3
10	2	20
5	13	15
15	4	12
1	14	3
20	1	7
7	9	7
7	4	19
12	9	4
3	15	16
13	19	15
9	18	4
15	8	6
10	8	17
20	10	10
18	20	9
11	17	11
5	18	16
4	9	14
2	2	16
8	1	8
14	17	7
16	8	2
13	6	16
11	3	12
17	18	14
