Answers - Predictions = Differences
18.6 - 17.9737433912 = 0.6262566088
9.1 - 1.06057454171 = 8.03942545829
13.1 - 11.0233034599 = 2.0766965401
14.6 - 15.9840539072 = -1.3840539072
18.3 - 10.9935485483 = 7.3064514517
19.9 - 18.9588020037 = 0.9411979963
16.1 - 11.0122015555 = 5.0877984445
15.4 - 12.0114431219 = 3.3885568781
11.4 - 10.0293830327 = 1.3706169673
11.7 - 9.02890904656 = 2.67109095344
12.5 - 5.04358260326 = 7.45641739674
17.7 - 12.9894102575 = 4.7105897425
16.7 - 16.9842930173 = -0.2842930173
16.8 - 12.0004978016 = 4.7995021984
8.3 - 1.07336849176 = 7.22663150824
15.1 - 11.0040342428 = 4.0959657572
24.0 - 19.9346856336 = 4.0653143664
5.3 - 1.08447039613 = 4.21552960387
10.6 - 6.04167004186 = 4.55832995814
20.9 - 16.9641727143 = 3.9358272857
16.0 - 13.9957433008 = 2.0042566992
18.1 - 14.9680079633 = 3.1319920367
10.1 - 11.0318622327 = -0.9318622327
22.5 - 18.9490108111 = 3.5509891889
13.2 - 13.9998320203 = -0.7998320203
17.7 - 12.9944965207 = 4.7055034793
17.4 - 13.9847979805 = 3.4152020195
15.3 - 11.0173661108 = 4.2826338892
13.6 - 12.0033541012 = 1.5966458988
12.2 - 12.0041268951 = 0.1958731049
14.0 - 13.9895812018 = 0.0104187982
15.9 - 18.976995385 = -3.076995385
20.8 - 19.9578869861 = 0.8421130139
6.7 - 3.06106288821 = 3.63893711179
8.2 - 2.06428616142 = 6.13571383858
18.9 - 16.9681831418 = 1.9318168582
9.0 - 2.0616647378 = 6.9383352622
15.1 - 16.9844496014 = -1.8844496014
14.8 - 10.0093410217 = 4.7906589783
10.4 - 4.05097288792 = 6.34902711208
12.8 - 14.0087721269 = -1.2087721269
7.3 - 5.06825125159 = 2.23174874841
4.7 - 3.0828752369 = 1.6171247631
19.8 - 11.9792233708 = 7.8207766292
15.1 - 9.0215826936 = 6.0784173064
19.0 - 11.984387926 = 7.015612074
12.3 - 5.04042326175 = 7.25957673825
20.4 - 19.9566545663 = 0.4433454337
14.3 - 9.00894532757 = 5.29105467243
4.7 - 3.08796150011 = 1.61203849989
8.7 - 7.04230061206 = 1.65769938794
18.3 - 12.9912588872 = 5.3087411128
9.3 - 1.06882014644 = 8.23117985356
13.1 - 15.0009222164 = -1.9009222164
13.1 - 5.04288810135 = 8.05711189865
13.5 - 12.9968149025 = 0.5031850975
5.0 - 6.07273566521 = -1.07273566521
6.4 - 4.07679566404 = 2.32320433596
15.2 - 14.0034509877 = 1.1965490123
10.2 - 8.03814796092 = 2.16185203908
14.5 - 9.0197340639 = 5.4802659361
15.7 - 18.9712929119 = -3.2712929119
7.3 - 1.08554623191 = 6.21445376809
18.4 - 19.945406204 = -1.545406204
24.0 - 19.9397718968 = 4.0602281032
18.4 - 19.9555787305 = -1.5555787305
22.7 - 16.9442872873 = 5.7557127127
11.7 - 5.04620402688 = 6.65379597312
12.0 - 14.0113935505 = -2.0113935505
10.3 - 11.0324784426 = -0.7324784426
14.1 - 13.0113791902 = 1.0886208098
23.8 - 19.9416988185 = 3.8583011815
20.2 - 13.9654504714 = 6.2345495286
15.8 - 11.9897873572 = 3.8102126428
17.7 - 16.979744672 = 0.720255328
8.9 - 7.05308934839 = 1.84691065161
12.0 - 4.04064377747 = 7.95935622253
9.2 - 8.03506691142 = 1.16493308858
12.8 - 8.01818424193 = 4.78181575807
20.5 - 18.9428487121 = 1.5571512879
19.0 - 17.9673464161 = 1.0326535839
13.7 - 7.02973141187 = 6.67026858813
12.5 - 5.03086694522 = 7.46913305478
5.7 - 5.07095096722 = 0.62904903278
10.9 - 11.0266976774 = -0.1266976774
7.3 - 3.05528212308 = 4.24471787692
15.9 - 11.0141284772 = 4.8858715228
19.2 - 15.977881682 = 3.222118318
11.8 - 8.03544824529 = 3.76455175471
20.2 - 15.9631608102 = 4.2368391898
8.5 - 3.06152251409 = 5.43847748591
16.2 - 19.9742317377 = -3.7742317377
15.5 - 13.0029770015 = 2.4970229985
10.3 - 3.06452527158 = 7.23547472842
14.1 - 18.9867082855 = -4.8867082855
17.7 - 8.99653271139 = 8.70346728861
6.7 - 7.06411296075 = -0.36411296075
19.7 - 14.9703945109 = 4.7296054891
13.6 - 16.0013179105 = -2.4013179105
19.5 - 18.9601127155 = 0.5398872845
4.4 - 4.08080609148 = 0.31919390852
18.6 - 15.9709467891 = 2.6290532109
19.3 - 16.9592430351 = 2.3407569649
14.2 - 6.03241676719 = 8.16758323281
20.7 - 16.9635565044 = 3.7364434956
14.7 - 14.9804205795 = -0.2804205795
10.3 - 7.04977342287 = 3.25022657713
9.4 - 4.05552123325 = 5.34447876675
13.1 - 7.02279651896 = 6.07720348104
19.7 - 16.9655617181 = 2.7344382819
10.9 - 13.0167786215 = -2.1167786215
18.8 - 19.9618974135 = -1.1618974135
10.6 - 10.0320044564 = 0.5679955436
12.2 - 10.0318478723 = 2.1681521277
7.9 - 5.05992735486 = 2.84007264514
